campaign_id,campaign_name,channel,start_date,end_date,budget,target_segment
7001,Campaign 01,email,2025-01-01,2025-01-13,394098,standard
7002,Campaign 02,email,2025-01-18,2025-02-15,1245625,premium
7003,Campaign 03,email,2025-02-04,2025-03-01,666584,vip
7004,Campaign 04,social,2025-02-21,2025-03-04,491388,premium
7005,Campaign 05,context,2025-03-10,2025-04-09,1062576,mass
7006,Campaign 06,affiliate,2025-03-27,2025-04-28,418292,vip
7007,Campaign 07,social,2025-04-13,2025-05-03,672493,vip
7008,Campaign 08,social,2025-04-30,2025-05-19,269975,vip
7009,Campaign 09,context,2025-05-17,2025-06-19,229010,premium
7010,Campaign 10,context,2025-06-03,2025-07-01,667651,mass
7011,Campaign 11,affiliate,2025-06-20,2025-07-11,589491,vip
7012,Campaign 12,social,2025-07-07,2025-07-17,1399877,standard
7013,Campaign 13,social,2025-07-24,2025-08-03,1386565,mass
7014,Campaign 14,context,2025-08-10,2025-08-30,1172539,standard
7015,Campaign 15,context,2025-08-27,2025-09-14,416979,premium
7016,Campaign 16,email,2025-09-13,2025-10-16,191837,standard
7017,Campaign 17,social,2025-09-30,2025-10-12,290122,mass
7018,Campaign 18,context,2025-10-17,2025-11-08,879245,premium
7019,Campaign 19,email,2025-11-03,2025-11-27,271523,vip
7020,Campaign 20,email,2025-11-20,2025-12-21,102170,premium
7021,Campaign 21,context,2025-12-07,2026-01-08,804098,vip
7022,Campaign 22,affiliate,2025-12-24,2026-01-19,832371,mass
7023,Campaign 23,social,2026-01-10,2026-01-28,614970,premium
7024,Campaign 24,email,2026-01-27,2026-02-09,929440,standard
7025,Campaign 25,affiliate,2026-02-13,2026-03-18,838368,standard
7026,Campaign 26,social,2026-03-02,2026-03-24,279210,vip
7027,Campaign 27,email,2026-03-19,2026-04-20,205084,premium
7028,Campaign 28,context,2026-04-05,2026-04-16,1359294,standard
7029,Campaign 29,email,2026-04-22,2026-05-03,1459955,vip
7030,Campaign 30,affiliate,2026-05-09,2026-05-31,1454754,mass
