return_id,order_id,product_id,return_ts,reason,refund_amount
9000001,5004474,200163,2025-02-28,changed_mind,2592.25
9000002,5006951,200032,2025-04-28,changed_mind,1433.42
9000003,5040333,200094,2025-01-15,not_as_described,731.31
9000004,5035746,200234,2025-07-25,changed_mind,2935.28
9000005,5038109,200115,2025-08-01,defect,2722.09
9000006,5010763,200212,2026-02-18,defect,13093.17
9000007,5039448,200093,2025-06-01,changed_mind,5269.46
9000008,5017667,200013,2026-06-14,defect,2823.28
9000009,5042995,200119,2026-01-04,damaged_delivery,2454.79
9000010,5046953,200054,2025-08-28,damaged_delivery,13188.57
9000011,5008333,200242,2025-03-30,not_as_described,10009.38
9000012,5044341,200099,2026-02-05,defect,1475.01
9000013,5013732,200213,2025-09-06,not_as_described,3283.35
9000014,5012192,200144,2026-06-09,changed_mind,1803.59
9000015,5034063,200047,2025-08-31,not_as_described,6550.24
9000016,5056625,200122,2025-03-24,not_as_described,2755.98
9000017,5012239,200210,2025-02-19,not_as_described,5815.56
9000018,5022275,200237,2026-05-24,defect,5880.24
9000019,5026468,200071,2026-01-26,not_as_described,2211.7
9000020,5048516,200205,2025-10-08,changed_mind,20722.98
9000021,5045220,200213,2025-06-29,not_as_described,1968.56
9000022,5018336,200051,2025-01-31,defect,3088.77
9000023,5054109,200126,2026-03-03,defect,1538.39
9000024,5043238,200212,2026-05-12,wrong_size,6718.98
9000025,5018449,200096,2025-10-13,damaged_delivery,1947.58
9000026,5037077,200153,2025-01-12,defect,886.43
9000027,5032506,200163,2026-01-15,wrong_size,2153.75
9000028,5001240,200235,2025-07-12,defect,4741.78
9000029,5006220,200120,2025-06-25,wrong_size,2896.06
9000030,5057122,200099,2026-01-31,defect,1256.58
9000031,5008772,200064,2026-06-22,changed_mind,1216.49
9000032,5050454,200145,2025-01-27,not_as_described,8496.05
9000033,5016994,200188,2025-03-02,wrong_size,1295.21
9000034,5030877,200176,2025-10-11,not_as_described,3367.14
9000035,5015989,200077,2025-07-23,defect,20748.49
9000036,5041295,200240,2025-03-09,wrong_size,1138.42
9000037,5026605,200088,2026-04-29,not_as_described,4050.01
9000038,5021321,200207,2025-06-17,damaged_delivery,3610.4
9000039,5004988,200006,2025-07-05,defect,1154.33
9000040,5017434,200095,2025-03-30,changed_mind,2753.7
9000041,5026123,200185,2025-06-10,changed_mind,6253.08
9000042,5037606,200092,2026-03-04,damaged_delivery,2154.53
9000043,5019360,200190,2025-07-13,defect,10836.33
9000044,5005067,200150,2025-09-14,wrong_size,4081.96
9000045,5019054,200162,2025-02-04,not_as_described,2053.99
9000046,5050904,200233,2025-06-16,changed_mind,5979.4
9000047,5059956,200122,2026-03-04,changed_mind,2823.78
9000048,5001438,200004,2025-07-08,not_as_described,1633.18
9000049,5017180,200087,2025-06-20,damaged_delivery,1918.3
9000050,5011939,200136,2026-02-23,defect,672.85
9000051,5054541,200241,2025-04-26,damaged_delivery,4562.21
9000052,5033332,200148,2026-01-18,changed_mind,3166.3
9000053,5027077,200105,2026-04-17,changed_mind,1484.55
9000054,5031131,200110,2025-07-06,damaged_delivery,1662.48
9000055,5057222,200090,2026-05-07,changed_mind,4025.51
9000056,5003977,200002,2026-03-26,changed_mind,1951.96
9000057,5050077,200019,2026-05-05,changed_mind,5620.26
9000058,5029995,200188,2025-06-06,not_as_described,1214.18
9000059,5004999,200035,2026-04-12,defect,5777.71
9000060,5009430,200045,2026-04-25,changed_mind,4807.71
9000061,5053145,200050,2025-09-17,damaged_delivery,2738.1
9000062,5025940,200090,2025-01-30,damaged_delivery,9447.69
9000063,5027156,200207,2026-03-01,changed_mind,2288.3
9000064,5024383,200247,2025-06-21,changed_mind,3859.67
9000065,5025820,200110,2026-01-01,wrong_size,2321.81
9000066,5045648,200237,2026-02-01,defect,12416.13
9000067,5052793,200032,2026-05-09,wrong_size,4616.1
9000068,5036885,200099,2025-02-09,not_as_described,2705.26
9000069,5014370,200081,2026-01-04,defect,1698.62
