snapshot_date,product_id,stock_units,reorder_point
2025-01-01,200036,46,146
2025-01-01,200161,243,85
2025-01-01,200138,81,86
2025-01-01,200229,21,43
2025-01-01,200013,123,61
2025-01-01,200056,3,137
2025-01-01,200192,193,111
2025-01-01,200193,237,65
2025-01-01,200202,214,72
2025-01-01,200162,207,21
2025-01-01,200128,180,88
2025-01-01,200182,195,172
2025-01-01,200181,53,42
2025-01-01,200220,207,80
2025-01-01,200149,233,25
2025-01-01,200235,151,91
2025-01-01,200109,189,91
2025-01-01,200077,130,47
2025-01-01,200039,170,117
2025-01-01,200118,53,53
2025-01-01,200200,230,38
2025-01-01,200174,204,171
2025-01-01,200102,239,39
2025-01-01,200180,137,101
2025-01-01,200245,218,175
2025-01-01,200137,73,108
2025-01-01,200125,42,175
2025-01-01,200209,227,83
2025-01-01,200170,124,96
2025-01-01,200159,26,145
2025-01-01,200072,160,45
2025-01-01,200199,67,49
2025-01-01,200106,130,26
2025-01-01,200140,222,58
2025-01-01,200177,50,169
2025-01-01,200164,112,147
2025-01-01,200215,78,73
2025-01-01,200204,41,44
2025-01-01,200010,121,91
2025-01-01,200009,63,111
2025-01-01,200041,133,68
2025-01-01,200095,39,143
2025-01-01,200050,74,46
2025-01-01,200217,70,138
2025-01-01,200105,172,163
2025-01-01,200141,166,64
2025-01-01,200080,75,158
2025-01-01,200030,185,126
2025-01-01,200027,229,125
2025-01-01,200065,180,76
2025-01-01,200187,8,153
2025-01-01,200218,70,175
2025-01-01,200153,193,55
2025-01-01,200173,249,150
2025-01-01,200167,129,66
2025-01-01,200190,142,159
2025-01-01,200120,210,75
2025-01-01,200195,194,167
2025-01-01,200197,172,56
2025-01-01,200078,39,29
2025-01-01,200021,91,120
2025-01-01,200121,87,91
2025-01-01,200018,224,84
2025-01-01,200003,15,115
2025-01-01,200178,36,144
2025-01-01,200103,73,136
2025-01-01,200058,39,24
2025-01-01,200073,203,58
2025-01-01,200151,212,114
2025-01-01,200148,193,20
2025-01-01,200129,187,124
2025-01-01,200111,148,34
2025-01-01,200115,140,90
2025-01-01,200026,217,167
2025-01-01,200223,3,20
2025-01-01,200082,0,59
2025-01-01,200061,79,27
2025-01-01,200069,145,143
2025-01-01,200239,152,47
2025-01-01,200171,85,133
2025-01-01,200116,149,167
2025-01-01,200092,63,138
2025-01-01,200051,59,117
2025-01-01,200191,227,153
2025-01-01,200207,224,88
2025-01-01,200032,131,82
2025-01-01,200081,63,67
2025-01-01,200176,231,151
2025-01-01,200023,204,43
2025-01-01,200022,132,39
2025-01-01,200104,14,78
2025-01-01,200012,107,106
2025-01-01,200143,21,123
2025-01-01,200076,80,29
2025-01-01,200224,176,36
2025-01-01,200035,174,150
2025-01-01,200005,206,77
2025-01-01,200052,92,106
2025-01-01,200233,39,150
2025-01-01,200205,120,125
2025-01-08,200047,50,129
2025-01-08,200109,154,141
2025-01-08,200019,155,170
2025-01-08,200206,221,154
2025-01-08,200189,73,169
2025-01-08,200100,213,150
2025-01-08,200071,156,97
2025-01-08,200013,106,26
2025-01-08,200184,210,112
2025-01-08,200123,225,155
2025-01-08,200132,225,169
2025-01-08,200216,183,133
2025-01-08,200105,41,90
2025-01-08,200085,9,47
2025-01-08,200210,246,149
2025-01-08,200232,52,57
2025-01-08,200191,143,71
2025-01-08,200104,84,54
2025-01-08,200220,136,144
2025-01-08,200173,227,56
2025-01-08,200219,94,147
2025-01-08,200002,134,166
2025-01-08,200012,211,159
2025-01-08,200137,94,176
2025-01-08,200159,108,112
2025-01-08,200068,29,158
2025-01-08,200129,126,127
2025-01-08,200044,91,79
2025-01-08,200172,15,35
2025-01-08,200014,32,73
2025-01-08,200082,141,73
2025-01-08,200093,3,171
2025-01-08,200099,109,174
2025-01-08,200143,190,50
2025-01-08,200088,140,94
2025-01-08,200225,171,62
2025-01-08,200154,8,97
2025-01-08,200224,90,54
2025-01-08,200036,111,55
2025-01-08,200111,174,46
2025-01-08,200077,181,136
2025-01-08,200131,72,105
2025-01-08,200049,97,160
2025-01-08,200108,12,179
2025-01-08,200098,156,106
2025-01-08,200061,96,88
2025-01-08,200142,181,174
2025-01-08,200149,3,104
2025-01-08,200037,46,87
2025-01-08,200176,133,88
2025-01-08,200213,186,138
2025-01-08,200040,94,42
2025-01-08,200007,185,82
2025-01-08,200194,101,154
2025-01-08,200165,164,24
2025-01-08,200078,192,134
2025-01-08,200126,185,175
2025-01-08,200017,113,58
2025-01-08,200034,195,105
2025-01-08,200101,226,108
2025-01-08,200146,10,158
2025-01-08,200185,71,129
2025-01-08,200228,150,122
2025-01-08,200062,31,26
2025-01-08,200148,72,84
2025-01-08,200038,58,146
2025-01-08,200200,193,114
2025-01-08,200242,231,161
2025-01-08,200204,152,26
2025-01-08,200102,189,57
2025-01-08,200222,221,106
2025-01-08,200140,222,33
2025-01-08,200025,10,108
2025-01-08,200182,98,116
2025-01-08,200202,200,163
2025-01-08,200199,12,71
2025-01-08,200190,22,162
2025-01-08,200079,139,125
2025-01-08,200042,212,61
2025-01-08,200178,248,38
2025-01-08,200052,47,141
2025-01-08,200205,7,56
2025-01-08,200238,129,179
2025-01-08,200055,109,175
2025-01-08,200201,124,144
2025-01-08,200188,121,162
2025-01-08,200133,29,92
2025-01-08,200180,211,155
2025-01-08,200153,65,170
2025-01-08,200073,36,127
2025-01-08,200096,88,56
2025-01-08,200240,210,123
2025-01-08,200141,66,138
2025-01-08,200237,213,31
2025-01-08,200089,48,171
2025-01-08,200226,224,93
2025-01-08,200183,150,171
2025-01-08,200041,64,82
2025-01-08,200097,221,168
2025-01-08,200117,140,60
2025-01-15,200177,182,64
2025-01-15,200109,5,105
2025-01-15,200074,168,90
2025-01-15,200087,100,116
2025-01-15,200097,104,28
2025-01-15,200203,195,144
2025-01-15,200098,143,71
2025-01-15,200210,122,101
2025-01-15,200242,185,160
2025-01-15,200170,175,142
2025-01-15,200151,111,77
2025-01-15,200232,83,173
2025-01-15,200119,48,24
2025-01-15,200220,69,167
2025-01-15,200247,196,97
2025-01-15,200146,133,100
2025-01-15,200063,231,174
2025-01-15,200196,8,77
2025-01-15,200022,81,24
2025-01-15,200033,83,51
2025-01-15,200084,214,129
2025-01-15,200148,13,126
2025-01-15,200050,191,122
2025-01-15,200101,249,115
2025-01-15,200015,161,163
2025-01-15,200058,213,127
2025-01-15,200049,222,151
2025-01-15,200029,11,96
2025-01-15,200240,135,132
2025-01-15,200142,156,94
2025-01-15,200162,207,141
2025-01-15,200115,21,63
2025-01-15,200149,49,158
2025-01-15,200159,71,94
2025-01-15,200112,240,135
2025-01-15,200092,234,117
2025-01-15,200001,20,78
2025-01-15,200011,39,44
2025-01-15,200055,145,159
2025-01-15,200070,145,156
2025-01-15,200130,219,37
2025-01-15,200165,77,146
2025-01-15,200056,24,119
2025-01-15,200239,119,34
2025-01-15,200086,132,130
2025-01-15,200143,6,113
2025-01-15,200167,93,56
2025-01-15,200107,155,169
2025-01-15,200245,235,119
2025-01-15,200222,186,99
2025-01-15,200184,149,42
2025-01-15,200100,158,149
2025-01-15,200223,154,71
2025-01-15,200233,27,173
2025-01-15,200228,62,89
2025-01-15,200059,50,148
2025-01-15,200128,121,110
2025-01-15,200156,117,52
2025-01-15,200116,154,170
2025-01-15,200094,179,159
2025-01-15,200195,28,76
2025-01-15,200006,112,125
2025-01-15,200046,105,161
2025-01-15,200027,135,166
2025-01-15,200031,233,73
2025-01-15,200158,81,24
2025-01-15,200194,189,159
2025-01-15,200047,164,131
2025-01-15,200181,38,149
2025-01-15,200077,145,103
2025-01-15,200206,33,170
2025-01-15,200110,154,142
2025-01-15,200080,68,92
2025-01-15,200104,63,51
2025-01-15,200208,164,156
2025-01-15,200123,215,162
2025-01-15,200134,189,152
2025-01-15,200231,168,138
2025-01-15,200160,168,168
2025-01-15,200211,8,68
2025-01-15,200003,163,152
2025-01-15,200161,39,54
2025-01-15,200205,154,154
2025-01-15,200132,110,95
2025-01-15,200073,109,50
2025-01-15,200192,52,99
2025-01-15,200154,46,156
2025-01-15,200121,119,47
2025-01-15,200243,49,115
2025-01-15,200042,1,44
2025-01-15,200007,2,58
2025-01-15,200005,173,90
2025-01-15,200246,104,51
2025-01-15,200039,244,159
