ticket_id,customer_id,created_at,category,priority,status,resolution_hours
8000001,101747,2026-03-23 01:21:00,account,low,in_progress,
8000002,100100,2026-06-20 03:27:00,return,low,in_progress,
8000003,109191,2025-08-11 17:52:00,delivery,normal,resolved,6.0
8000004,101148,2025-09-16 17:47:00,delivery,normal,resolved,37.0
8000005,107658,2025-07-20 05:27:00,payment,urgent,in_progress,
8000006,104921,2025-03-30 04:35:00,payment,normal,resolved,12.8
8000007,100518,2025-02-18 06:47:00,delivery,low,in_progress,
8000008,100469,2026-04-03 17:57:00,delivery,high,in_progress,
8000009,107976,2025-01-31 18:19:00,payment,normal,resolved,15.9
8000010,101084,2026-04-11 10:01:00,product,normal,resolved,7.5
8000011,104220,2025-07-04 10:56:00,return,low,closed,4.1
8000012,109478,2026-02-08 19:42:00,delivery,low,closed,11.5
8000013,102548,2025-01-15 15:00:00,product,normal,resolved,23.7
8000014,101742,2025-09-19 10:47:00,account,high,closed,8.7
8000015,108762,2025-09-11 18:16:00,product,normal,resolved,15.6
8000016,100616,2025-10-17 20:52:00,payment,low,closed,4.4
8000017,108357,2025-02-27 20:44:00,account,low,resolved,11.8
8000018,107885,2026-03-02 15:15:00,return,low,resolved,10.2
8000019,101454,2026-03-17 01:09:00,product,low,resolved,38.5
8000020,104825,2025-06-18 23:18:00,product,low,resolved,20.0
8000021,108353,2025-12-31 09:08:00,payment,normal,closed,7.9
8000022,105538,2025-01-02 12:48:00,product,low,resolved,4.6
8000023,106095,2026-05-23 17:43:00,account,low,closed,5.2
8000024,107770,2025-06-07 17:18:00,account,low,resolved,10.1
8000025,106914,2025-08-14 15:19:00,delivery,normal,closed,7.5
8000026,108583,2025-12-08 23:20:00,payment,high,resolved,5.8
8000027,105835,2026-05-29 23:35:00,delivery,low,closed,26.3
8000028,100700,2025-07-31 22:00:00,payment,low,resolved,6.2
8000029,108151,2025-12-29 23:37:00,product,high,resolved,66.7
8000030,104340,2026-01-01 11:53:00,payment,normal,resolved,15.2
8000031,107247,2026-01-09 01:04:00,account,normal,resolved,6.1
8000032,101629,2025-02-19 00:15:00,product,normal,resolved,7.2
8000033,103826,2026-06-13 02:12:00,payment,low,resolved,8.3
8000034,107597,2025-11-23 12:55:00,account,high,closed,8.1
8000035,107677,2026-05-20 01:41:00,account,normal,in_progress,
8000036,101629,2026-04-02 10:12:00,product,normal,in_progress,
8000037,101513,2025-11-18 14:50:00,payment,normal,resolved,4.5
8000038,101454,2025-10-19 23:37:00,account,low,resolved,9.8
8000039,100149,2026-05-29 20:02:00,account,normal,closed,5.1
8000040,105604,2025-06-13 17:17:00,payment,normal,closed,10.6
8000041,101197,2026-05-07 10:57:00,product,high,open,
8000042,109844,2025-07-26 21:04:00,account,high,closed,8.4
8000043,106973,2025-12-18 09:11:00,account,normal,resolved,15.8
8000044,106421,2025-09-11 06:24:00,payment,low,open,
8000045,100289,2026-02-27 04:27:00,account,low,closed,16.1
